policy,levenshtein_avg,moverscore_avg,levenshtein_moverscore_avg,accuracy,precision,recall,f1_score,levenshtein_first_name,levenshtein_middle_name,levenshtein_last_name,levenshtein_data_of_injury,levenshtein_policy_number
POL123456789,0.9821428571428572,1.0,0.984375,0.875,1.0,0.875,0.9333333333333332,1.0,1.0,1.0,1.0,1.0
test,0.871031746031746,0.5097187573837212,0.825867622450743,0.625,1.0,0.625,0.7692307692307693,0.2222222222222222,1.0,1.0,1.0,1.0
POL987654321,0.871031746031746,0.5097187573837212,0.825867622450743,0.625,1.0,0.625,0.7692307692307693,0.2222222222222222,1.0,1.0,1.0,1.0
